# 장군 스탯 원본 (병과별 × 레벨 전개 — 병과는 아이템이 부여하며 그 병과가 장군 스킬도 결정한다)
# level 0 = 현재 .asset의 엘리트 배율 파생값 (회귀 보존). 이후 레벨은 초기 제안값이며 밸런싱(작업 5)에서 튜닝한다.
# 장군 능력(패시브·충전·액티브)은 레벨과 무관한 인게임 소유 데이터이므로 이 표에 없다 (GeneralData 에셋).
classId,level,maxHp,attackDamage,defense,critChancePercent,moveSpeed
Normal,0,400,9.6,0,0,3.2
Normal,1,430,10.8,4,1,3.2
Normal,2,460,10.8,8,2,3.2
Normal,3,495,12,12,3,3.2
Normal,4,530,13.2,16,4,3.2
Normal,5,570,14.4,20,5,3.2
Warrior,0,800,18,0,0,3.5
Warrior,1,896,19.5,16,1,3.5
Warrior,2,1008,22.5,32,2,3.5
Warrior,3,1128,25.5,48,3,3.5
Warrior,4,1264,28.5,64,4,3.5
Warrior,5,1416,31.5,80,5,3.5
Archer,0,440,13.5,0,0,2.8
Archer,1,496,15,6,2,2.8
Archer,2,552,16.5,12,4,2.8
Archer,3,616,19.5,18,6,2.8
Archer,4,696,21,24,8,2.8
Archer,5,776,24,30,10,2.8
Assassin,0,280,24,0,0,5
Assassin,1,312,27,6,4,5
Assassin,2,352,30,12,8,5
Assassin,3,392,34.5,18,12,5
Assassin,4,440,37.5,24,16,5
Assassin,5,492,42,30,20,5
Hunter,0,600,19.5,0,0,3.2
Hunter,1,672,22.5,8,3,3.2
Hunter,2,752,24,16,6,3.2
Hunter,3,840,27,24,9,3.2
Hunter,4,944,30,32,12,3.2
Hunter,5,1056,34.5,40,15,3.2
