# 병사 스탯 원본 (병과 × 레벨 전개 테이블 — 계산식 없음: 아웃게임과 수치가 어긋날 여지를 없앤다)
# level = 분대 레벨 = 장군 레벨 = 군대 강화 레벨 (0~5, 단일 축)
# level 0 = 현재 .asset 값 (회귀 보존). 레벨 1~5의 방어력/치명타 곡선은 초기 제안값이며 밸런싱(작업 5)에서 튜닝한다.
# critChancePercent는 0~100 퍼센트 정수 단위 (아웃게임 표기와 동일).
classId,level,maxHp,attackDamage,defense,critChancePercent,moveSpeed
Normal,0,80,8,0,0,3.2
Normal,1,86,9,2,1,3.2
Normal,2,92,9,4,2,3.2
Normal,3,99,10,6,3,3.2
Normal,4,106,11,8,4,3.2
Normal,5,114,12,10,5,3.2
Warrior,0,100,12,0,0,3.5
Warrior,1,112,13,8,1,3.5
Warrior,2,126,15,16,2,3.5
Warrior,3,141,17,24,3,3.5
Warrior,4,158,19,32,4,3.5
Warrior,5,177,21,40,5,3.5
Archer,0,55,9,0,0,2.8
Archer,1,62,10,3,2,2.8
Archer,2,69,11,6,4,2.8
Archer,3,77,13,9,6,2.8
Archer,4,87,14,12,8,2.8
Archer,5,97,16,15,10,2.8
Assassin,0,70,16,0,0,5
Assassin,1,78,18,3,4,5
Assassin,2,88,20,6,8,5
Assassin,3,98,23,9,12,5
Assassin,4,110,25,12,16,5
Assassin,5,123,28,15,20,5
Hunter,0,75,13,0,0,3.2
Hunter,1,84,15,4,3,3.2
Hunter,2,94,16,8,6,3.2
Hunter,3,105,18,12,9,3.2
Hunter,4,118,20,16,12,3.2
Hunter,5,132,23,20,15,3.2
